,N,non_neutral_mu,rec,L,L0,L1,m,ndeff,nprop,pdeff,pprop,n_sim,localintro,label,corpi_T_0.0,corpi_T_0.4,corpi_T_0.8,corpi_T_1.2,corpi_T_1.6,corpi_T_2.0,corpi_T_4.0,corpi_T_6.0,corpi_T_8.0,corpi_T_10.0,corpidiv0_T_0.0,corpidiv0_T_0.4,corpidiv0_T_0.8,corpidiv0_T_1.2,corpidiv0_T_1.6,corpidiv0_T_2.0,corpidiv0_T_4.0,corpidiv0_T_6.0,corpidiv0_T_8.0,corpidiv0_T_10.0,corpidiv1_T_0.0,corpidiv1_T_0.4,corpidiv1_T_0.8,corpidiv1_T_1.2,corpidiv1_T_1.6,corpidiv1_T_2.0,corpidiv1_T_4.0,corpidiv1_T_6.0,corpidiv1_T_8.0,corpidiv1_T_10.0,corpifst0_T_0.0,corpifst0_T_0.4,corpifst0_T_0.8,corpifst0_T_1.2,corpifst0_T_1.6,corpifst0_T_2.0,corpifst0_T_4.0,corpifst0_T_6.0,corpifst0_T_8.0,corpifst0_T_10.0,corpifst1_T_0.0,corpifst1_T_0.4,corpifst1_T_0.8,corpifst1_T_1.2,corpifst1_T_1.6,corpifst1_T_2.0,corpifst1_T_4.0,corpifst1_T_6.0,corpifst1_T_8.0,corpifst1_T_10.0
80,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,0.1,10.0,0.05,0.0,0.0,0.0,True,BDM -Ns=10.0 -Prop=0.05 Nm=0.1,0.9991896928936067,0.8389109472490075,0.579612673203144,0.5164087189044648,0.47524511789968404,0.6178591686249089,0.3548334818896362,0.3525646219917349,0.3261486103233125,0.21578478243254196,0.9996758771574429,0.9055181913945385,0.8379385787213354,0.6462199173486752,0.6010047808119278,0.6236933797909409,0.2227534235475245,-0.11546876266104855,-0.46568349404424286,-0.5593549955433109,0.9995138157361642,0.9389028441779436,0.7227129081922048,0.6982416335791266,0.6672879021149015,0.4875617859168625,0.1903411392917916,-0.4637387569888988,-0.5681063122923588,-0.43197471841828056,0.023255813953488372,0.09391459363098614,0.04351349161332146,-0.21448829106231265,-0.2013613159387408,-0.37476703670691197,-0.5502795559517057,-0.6956486508386679,-0.7460497528563327,-0.7911028279718014,0.02439024390243903,0.17235232152985983,-0.2105988169516247,-0.0940766550522648,-0.10023498906085407,-0.4647111255165708,-0.7032655376387651,-0.7737622558949843,-0.7546390081841018,-0.6517300056721498
81,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,0.1,10.0,0.05,0.0,0.0,1.0,True,BDM -Ns=10.0 -Prop=0.05 Nm=0.1,0.9990276314723282,0.7244955838262702,0.6969451422088971,0.666639656429787,0.5275909569726926,0.42581638440969133,0.4676282310995868,0.3081597925613808,0.3412203225022284,0.3246900575318046,0.9995138157361642,0.8095778299975691,0.7654971234097724,0.7035896604813224,0.6230451341058261,0.4600113442994896,0.13605056316343894,0.06928125759662913,-0.5000405153553197,-0.6483267158252978,0.9996758771574429,0.871971477189855,0.8440969127299247,0.7945061178186533,0.6112146503524836,0.41868568187343,0.14561218701888015,-0.14010209869540557,-0.41593063771169275,-0.5118709991086622,0.18013126975123572,-0.06798476622639982,-0.5254841584960701,-0.40021067984766234,-0.5339113524025606,-0.5661615752370148,-0.6416821975528726,-0.6693947005915243,-0.7478324284903979,-0.7909407665505228,0.185803419495989,-0.10947249007373795,-0.3895146260432705,-0.3036220727655782,-0.5121951219512196,-0.598411798071469,-0.7288712422007942,-0.7752208086864922,-0.7538287010777085,-0.7560975609756098
82,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,0.1,10.0,0.05,0.0,0.0,2.0,True,BDM -Ns=10.0 -Prop=0.05 Nm=0.1,0.9991896928936067,0.792723442184588,0.5760473219350134,0.3528887448342922,0.3883801960943198,0.20816789563244473,0.19990276314723282,0.14123652864435624,0.2749372011992545,0.05923344947735191,0.9993517543148854,0.8899602949517867,0.8299975690786809,0.6478405315614618,0.7253058909326635,0.4687626610485374,-0.028603840855684307,-0.12973016773357102,-0.2545174621181428,-0.4387812981119845,0.9998379385787213,0.9032493314966372,0.7522080868649219,0.6470302244550684,0.5233773600194473,0.3293898387488859,0.4246819544607406,0.12600275504416175,-0.2861194392674824,-0.3831942306134025,0.27607163114820515,-0.4671420468357508,-0.21529859816870595,-0.2105988169516247,-0.18061745401507173,-0.2550036463819788,-0.5882019285309132,-0.6505955757231991,-0.7463738756988899,-0.7056964589579451,0.2627825946033547,-0.3219350133700673,-0.3627744915322908,-0.10477270885665668,-0.42289927882667533,-0.5065229722064662,-0.38368041487723853,-0.6528644356211005,-0.6890041325662427,-0.6097560975609756
83,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,0.1,10.0,0.05,0.0,0.0,3.0,True,BDM -Ns=10.0 -Prop=0.05 Nm=0.1,0.9972449558382628,0.6961348351025038,0.5130054290576128,0.4708694595251601,0.33473786565108177,0.41074467223077554,0.21108500121546067,0.3271209788509845,0.13507819463576695,0.6233692569483835,0.9983793857872133,0.8209221294870755,0.634227372174054,0.6254760554250062,0.5152742889555141,0.5353699051940686,0.17607973421926912,0.11644113118872051,0.020824892634308406,-0.6679361478000163,0.9993517543148854,0.8862328822623775,0.7778137914269508,0.5177052102746942,0.26586176160764935,0.4339194554736246,0.17008346163195853,-0.034113929179158904,-0.29827404586338224,-0.7149339599708291,-0.07333279312859574,-0.3412203225022284,-0.39518677578802364,-0.4204683575074954,-0.32631067174459116,-0.35207843772789893,-0.48950652297220654,-0.6467061016125111,-0.6309861437484807,-0.8855846365772627,-0.06814682764767847,-0.14804310833806014,-0.24754882100316022,-0.6005185965480917,-0.44072603516732844,-0.4434810793290658,-0.4595251600356535,-0.6911109310428654,-0.6899765010939146,-0.8565756421683818
84,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,0.1,10.0,0.05,0.0,0.0,4.0,True,BDM -Ns=10.0 -Prop=0.05 Nm=0.1,0.9993517543148854,0.7249817680901063,0.6379547848634632,0.4750830564784053,0.4875617859168625,0.5266185884450207,0.41868568187343,0.3389514626043271,0.43667449963536176,0.40912405801798885,0.9996758771574429,0.899035734543392,0.8048780487804879,0.5663236366582935,0.5677821894498015,0.57280609350944,-0.07268454744348109,-0.12081678956324447,-0.5822056559436026,-0.43359533263106725,0.9996758771574429,0.8314561218701889,0.7604732193501337,0.7126651000729277,0.4055587067498582,0.3749290981281906,0.21935013370067258,-0.2540312778543068,-0.37249817680901065,-0.6483267158252978,0.19828214893444618,-0.1584150392998947,-0.3378170326553764,-0.5945223239607812,-0.3760635280771413,-0.5363422737217405,-0.7880236609675068,-0.6810631229235881,-0.8238392350700916,-0.7588526051373472,0.1940685519812009,-0.3668260270642574,-0.4170650676606434,-0.4181994976095941,-0.5929017097479945,-0.68446641277044,-0.5595170569645895,-0.759338789401183,-0.7734381330524269,-0.8150879183210437
87,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,1.0,10.0,0.05,0.0,0.0,2.0,True,BDM -Ns=10.0 -Prop=0.05 Nm=1.0,0.9978932015233775,0.7491289198606272,0.7567458066607244,0.7043999675877157,0.8136293655295358,0.6209383356292035,0.7000243092131918,0.7351916376306621,0.7857548010696054,0.6640466736893283,0.9990276314723282,0.9082732355562758,0.8599789320152339,0.8904464792156228,0.9076249898711612,0.8711611700834617,0.8215703751721903,0.8557653350619887,0.8729438457175269,0.8358317802447128,0.9991896928936067,0.9084352969775545,0.8648407746535938,0.8513896766874646,0.9259379304756503,0.7972611619803907,0.8761850741431003,0.8711611700834617,0.8141155497933718,0.795640547767604,-0.030386516489749615,-0.14755692407422413,-0.44137428085244307,-0.0451341058261081,-0.2786646138886638,0.07851875860951302,-0.4523944574993924,-0.43829511384814845,-0.3133457580422981,-0.22356373065391785,-0.04108257029414148,-0.22696702050076978,-0.39259379304756503,-0.1509602139210761,-0.24900737379466817,-0.13669880884855362,-0.3887043189368771,-0.42257515598411804,-0.4345677011587392,-0.320152337736002
88,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,1.0,10.0,0.05,0.0,0.0,3.0,True,BDM -Ns=10.0 -Prop=0.05 Nm=1.0,0.9977311401020987,0.8413418685681874,0.7891580909164574,0.7426464630094806,0.5752370148286201,0.7275747508305649,0.7212543554006968,0.7003484320557491,0.8841260837857547,0.9136212624584718,0.9993517543148854,0.9179969208329957,0.8470140183129407,0.8525241066364153,0.8500931853172353,0.847824325419334,0.7533425168138724,0.7992058990357346,0.8998460416497853,0.920265780730897,0.9983793857872133,0.928530913216109,0.9170245523053239,0.8241633579126489,0.7530183939713152,0.8225427436998622,0.7742484401588203,0.8732679685600844,0.9178348594117169,0.8998460416497853,-0.10542095454177135,-0.28952272911433435,-0.25905518191394544,-0.2689409286119439,-0.33749290981281904,-0.3971315128433677,-0.4055587067498582,-0.16813872457661452,-0.5982497366501905,-0.44331901790778705,-0.08872862815006888,-0.24155254841584958,-0.035410420549388213,-0.3655295356940281,-0.3710396240175027,-0.46390081841017744,-0.2997325986548902,-0.18288631391297303,-0.6687464549064097,-0.5110606920022689
86,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,1.0,10.0,0.05,0.0,0.0,1.0,True,BDM -Ns=10.0 -Prop=0.05 Nm=1.0,0.9993517543148854,0.84587958836399,0.7069929503281744,0.7311401020986955,0.7601490965075763,0.5553034600113443,0.5916052183777653,0.7575561137671177,0.7202819868730249,0.7058585203792238,0.9996758771574429,0.9418199497609594,0.8562515193258246,0.8711611700834617,0.8675958188153311,0.8235151122275342,0.8583583178024472,0.8852605137347056,0.8428004213596954,0.8729438457175269,0.9996758771574429,0.926586176160765,0.9118385868244065,0.8761850741431003,0.8667855117089378,0.8120087513167492,0.7515598411798072,0.860303054857791,0.8509034924236286,0.8089295843124545,0.317235232152986,-0.265051454501256,-0.4601734057207682,0.02584879669394701,-0.14334332712097886,-0.5753990762498987,-0.021473138319423064,-0.2736407098290252,-0.18369662101936635,-0.3015152742889556,0.32420387326796857,-0.2457661453690949,-0.40037274126894096,0.027145288064176328,-0.17462118142776115,-0.43570213110768985,-0.14447775706992952,-0.44866704480998304,-0.22307754639008187,-0.3697431326472734
85,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,1.0,10.0,0.05,0.0,0.0,0.0,True,BDM -Ns=10.0 -Prop=0.05 Nm=1.0,0.9991896928936067,0.9097317883477838,0.8434486670448099,0.5765335061988494,0.6548091726764443,0.7314642249412528,0.827566647759501,0.8129811198444211,0.775382870107771,0.8567377035896605,0.9998379385787213,0.9525160035653513,0.8745644599303136,0.8022850660400292,0.797585284822948,0.8697026172919538,0.8656510817599872,0.873916214245199,0.828539016287173,0.8951462604327041,0.9995138157361642,0.9609431974718419,0.9432785025524674,0.8220565594360262,0.8771574426707724,0.8366420873511061,0.9087594198201119,0.9194554736245036,0.8450692812575966,0.8808848553601817,-0.17721416416821975,-0.0073737946681792415,-0.10347621748642737,-0.09715582205655944,-0.24981768090106152,-0.36893282554088,-0.5977635523863545,-0.43764686816303383,-0.37136374686005996,-0.2948707560165303,-0.17186613726602384,0.08094967992869298,0.04562029008994409,-0.004456689085163277,-0.266510007292764,-0.2825540879993517,-0.5557896442751804,-0.33749290981281904,-0.3840045377197958,-0.41090673365205416
89,10000.0,5.56e-10,2e-08,21000000.0,7000000.0,7000000.0,1.0,10.0,0.05,0.0,0.0,4.0,True,BDM -Ns=10.0 -Prop=0.05 Nm=1.0,0.998541447208492,0.7606352807714124,0.7560975609756098,0.7270885665667288,0.6956486508386679,0.7697107203630177,0.6614536909488695,0.6680982092212949,0.7068308889068957,0.7489668584393485,0.9991896928936067,0.9178348594117169,0.8865570051049348,0.913459201037193,0.7839721254355402,0.8131431812656997,0.8064986629932746,0.7826756340653107,0.8264322178105502,0.8184912081678957,0.9995138157361642,0.899035734543392,0.8747265213515923,0.8679199416578884,0.9048699457094239,0.8748885827728711,0.8797504254112308,0.878291872619723,0.845393404100154,0.8791021797261163,0.16214245198930394,0.132647273316587,-0.3870837047240904,-0.11498257839721256,-0.3028117656591849,-0.3742808524430759,-0.184831050968317,-0.4032898468519569,-0.21092293979418203,-0.2746130783566972,0.14755692407422413,0.15695648650838667,-0.4843205574912892,-0.13653674742727495,-0.1381573616400616,-0.24333522404991495,-0.09148367231180618,-0.22307754639008187,-0.2746130783566972,-0.185803419495989
